Symbol,Atomic_Number,Atomic_Weight,Period,group,families,Mendele_Number,l_quantum_number,Atomic_Radus,Miracle_Radius_[pm],Covalent_Radius,Zunger_radii_sum,ionic_radius,Orbital_Radius(pm),crystal_radius,Pauling_Electronegativity,MB_electonegativity,Nagle_electonegativity,Pearson_abs_electonegativity,Gordy_electonegativity,Mulliken_EN,Allred-Rockow_electronegativity,metallic_valence,number_of_valence_electrons,gilmor_number_of_valence_electron,valence_s,valence_p,valence_d,valence_f,Number_of_unfilled_s_valence_electrons,Number_of_unfilled_p_valence_electrons,Number_of_unfilled_d_valence_electrons,Number_of_unfilled_f_valence_electrons,outer_shell_electrons,1st_ionization_potential_(kJ/mol),polarizability(A^3),Melting_point_(K),Boiling_Point_(K),Molar_Denstiy_(mol/ml),Density_(g/mL),Molar_Heat_Capacity(J/mol_K),specific_heat_(J/g_K)_,heat_of_fusion_(kJ/mol)_,heat_of_vaporization_(kJ/mol)_,thermal_conductivity_(W/(m_K))_,heat_atomization(kJ/mol),Cohesive_energy,B(Gpa),nws(e/au3),volume(10-6m3),Work_function,G,abs_valence,Nearest_Neighbor_Distance(pm),Critical_Temperature,Low_Temp_Debye(K),High_Temp_Debye(K),Atomic_Concentration(1e-23_cm-3),Cp_Coeff_A,Cp_Coeff_B*T,Cp_Coeff_C*T^(-2),Cp_Coeff_D*T^(-0.5),Cp_Coeff_E*T^2
H,1.00,1.01,1.00,1.00,7.00,92.00,0.00,0.53,,0.37,1.25,0.25,52.90,0.10,2.20,2.10,2.27,7.18,7.18,7.18,2.30,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,6.00,10.00,14.00,1.00,1312.00,0.70,14.05,20.25,0.00,0.00,14.42,14.30,0.59,0.45,0.18,218.00,0.00,0.20,3.38,1.70,,,1,,33.00,122.00,0.00,,0.90,0.00,-58145.50,48.19,0.00
He,2.00,4.00,1.00,18.00,9.00,98.00,0.00,0.31,,0.32,0.00,0.31,29.10,0.00,0.00,0.00,3.92,,12.05,0.00,4.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,6.00,10.00,14.00,0.00,2372.00,0.20,0.95,4.25,0.00,0.00,20.79,5.19,0.02,0.08,0.15,0.00,0.00,,,,,,2,,5.19,,,,4.97,0.00,0.00,0.00,0.00
Li,3.00,6.94,2.00,1.00,1.00,1.00,0.00,1.67,152.00,1.34,1.61,1.45,158.60,0.90,0.98,0.90,0.94,3.01,3.22,3.01,0.91,1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,6.00,10.00,14.00,1.00,520.00,24.30,453.65,1615.15,0.08,0.54,24.99,3.60,3.00,145.92,84.70,161.00,1.63,11.60,0.94,13.00,2.93,4.20,1,302.00,3223.00,344.00,448.00,4.70,1.70,0.01,83000.00,0.00,0.00
Be,4.00,9.01,2.00,2.00,2.00,67.00,0.00,1.12,112.00,0.90,1.08,1.05,104.00,0.41,1.57,1.45,1.55,4.90,3.79,4.90,1.58,2.00,2.00,2.00,2.00,0.00,0.00,0.00,0.00,6.00,10.00,14.00,2.00,899.00,5.60,1551.15,3243.15,0.21,1.85,16.40,1.82,7.95,292.40,200.00,324.00,3.32,110.00,4.66,4.90,4.98,132.60,2,222.00,13000.00,1481.00,1031.00,12.10,5.07,0.00,-137949.00,0.00,0.00
B,5.00,10.81,2.00,13.00,6.00,72.00,1.00,0.87,88.00,0.82,0.80,0.85,77.60,0.25,2.04,1.90,2.02,4.29,4.60,4.29,2.05,3.00,3.00,3.00,2.00,1.00,0.00,0.00,0.00,5.00,10.00,14.00,3.00,801.00,3.00,2352.15,4275.00,0.22,2.34,11.03,1.02,50.20,489.70,27.00,573.00,5.81,178.00,5.36,4.70,4.45,177.00,1,,3284.00,1480.00,1362.00,13.00,-3.09,0.02,42234.00,0.00,0.00
C,6.00,12.01,2.00,14.00,7.00,77.00,1.00,0.67,77.00,0.77,0.64,0.70,62.00,0.29,2.55,2.37,2.55,6.27,5.62,6.27,2.54,4.00,4.00,4.00,2.00,2.00,0.00,0.00,0.00,4.00,10.00,14.00,4.00,1086.00,1.80,3640.15,5100.15,0.19,2.25,8.53,0.71,105.00,355.80,129.00,717.00,7.37,443.00,5.55,3.25,4.81,11.50,2,154.00,6743.00,2230.00,1550.00,17.60,13.30,0.00,136213.00,-211.82,0.00
N,7.00,14.01,2.00,15.00,7.00,82.00,1.00,0.56,72.00,0.75,0.54,0.65,52.10,0.30,3.04,2.85,3.12,7.30,6.88,7.30,3.07,3.00,5.00,5.00,2.00,3.00,0.00,0.00,0.00,3.00,10.00,14.00,5.00,1402.00,1.10,63.25,77.35,0.00,0.00,14.57,1.04,0.36,2.79,0.03,473.00,4.92,1.20,4.49,4.10,,,3,,126.19,,,,4.56,0.00,60627.50,-32.33,0.00
O,8.00,16.00,2.00,16.00,7.00,87.00,1.00,0.48,64.00,0.73,0.47,0.60,45.00,1.21,3.44,3.32,3.62,7.54,8.37,7.54,3.61,0.00,6.00,6.00,2.00,4.00,0.00,0.00,0.00,2.00,10.00,14.00,6.00,1314.00,0.79,54.75,90.15,0.00,0.00,14.72,0.92,0.22,3.41,0.03,249.00,2.62,2.25,,,,,4,,154.58,,,,6.42,0.00,73189.00,-62.28,0.00
F,9.00,19.00,2.00,17.00,8.00,93.00,1.00,0.42,,0.71,0.41,0.50,39.60,1.19,3.98,3.78,4.23,10.41,10.09,10.41,4.19,0.00,7.00,7.00,2.00,5.00,0.00,0.00,0.00,1.00,10.00,14.00,7.00,1681.00,0.63,53.35,85.05,0.00,0.00,15.58,0.82,0.26,3.27,0.03,79.00,0.84,,,,,,5,144.00,144.32,,,,5.74,0.00,6828.55,-34.39,0.00
Ne,10.00,20.18,2.00,18.00,9.00,99.00,1.00,0.38,,0.69,0.00,0.38,35.40,0.00,0.00,0.00,4.89,,12.03,0.00,4.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,6.00,10.00,14.00,0.00,2081.00,0.40,24.45,25.15,0.00,0.00,18.24,0.90,0.33,1.73,0.05,0.00,0.02,,,,,,6,316.00,44.40,74.60,0.00,4.36,4.97,0.00,0.00,0.00,0.00
Na,11.00,22.99,3.00,1.00,1.00,2.00,0.00,1.90,180.00,1.54,2.65,1.80,171.30,1.16,0.93,0.89,0.95,2.85,2.54,2.85,0.87,1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,6.00,10.00,14.00,1.00,496.00,23.60,370.95,1156.15,0.04,0.97,28.28,1.23,2.60,96.96,141.00,109.00,1.11,6.80,0.55,23.78,2.36,3.30,1,366.00,2573.00,156.50,155.00,2.65,3.95,0.01,0.00,0.00,0.00
Mg,12.00,24.31,3.00,2.00,2.00,68.00,0.00,1.45,160.00,1.30,2.03,1.50,127.90,0.86,1.31,1.31,1.32,3.75,2.97,3.75,1.29,2.00,2.00,2.00,2.00,0.00,0.00,0.00,0.00,6.00,10.00,14.00,2.00,738.00,10.60,922.15,1363.15,0.07,1.74,24.79,1.02,8.95,127.40,156.00,148.00,1.51,35.60,1.60,14.00,3.66,17.00,2,320.00,2535.00,403.00,330.00,4.30,5.14,0.00,-1900.00,0.00,0.00
Al,13.00,26.98,3.00,13.00,5.00,73.00,1.00,1.18,141.00,1.18,1.68,1.25,131.20,0.53,1.61,1.64,1.55,3.23,3.52,3.23,1.61,3.00,3.00,3.00,2.00,1.00,0.00,0.00,0.00,5.00,10.00,14.00,3.00,578.00,8.30,933.15,2740.15,0.10,2.70,24.28,0.90,10.79,293.40,237.00,326.00,3.39,75.20,2.70,10.00,4.26,26.00,1,286.00,8550.00,433.00,390.00,6.02,-2.76,0.01,-150199.00,143.06,0.00
Si,14.00,28.09,3.00,14.00,6.00,78.00,1.00,1.11,110.00,1.11,1.42,1.10,106.80,0.40,1.90,1.98,1.87,4.77,4.19,4.77,1.92,4.00,4.00,4.00,2.00,2.00,0.00,0.00,0.00,4.00,10.00,14.00,4.00,787.00,5.40,1683.15,2628.15,0.08,2.33,19.94,0.71,50.55,384.22,148.00,452.00,4.63,98.00,3.38,8.60,4.85,79.90,2,235.00,5159.00,645.00,692.00,5.00,5.28,0.00,-81317.40,0.00,0.00
P,15.00,30.97,3.00,15.00,7.00,83.00,1.00,0.98,102.00,1.06,1.24,1.00,91.90,0.31,2.19,2.32,2.22,5.62,4.96,5.62,2.25,3.00,5.00,5.00,2.00,3.00,0.00,0.00,0.00,3.00,10.00,14.00,5.00,1012.00,3.60,317.25,553.15,0.06,1.82,23.85,0.77,0.66,12.13,0.24,315.00,3.43,30.40,4.49,8.60,,,3,,994.00,0.00,576.00,,3.80,0.01,0.00,0.00,0.00
S,16.00,32.07,3.00,16.00,7.00,88.00,1.00,0.88,103.00,1.02,1.10,1.00,81.00,0.43,2.58,2.65,2.49,6.22,5.85,6.22,2.59,2.00,6.00,6.00,2.00,4.00,0.00,0.00,0.00,2.00,10.00,14.00,6.00,1000.00,2.90,385.95,717.85,0.06,2.07,22.77,0.71,1.72,9.80,0.27,279.00,2.85,7.70,,,,,4,,1314.00,0.00,527.00,,8.17,0.00,-155600.00,0.00,0.00
Cl,17.00,35.45,3.00,17.00,8.00,94.00,1.00,0.79,,0.99,1.01,1.00,72.50,1.67,3.16,2.98,2.82,8.30,6.84,8.30,2.87,0.00,7.00,7.00,2.00,5.00,0.00,0.00,0.00,1.00,10.00,14.00,7.00,1251.00,2.20,172.15,238.55,0.00,0.00,17.02,0.48,3.23,10.20,0.01,121.00,1.40,1.10,,,,,5,202.00,416.96,,,,5.11,0.00,-13124.75,-14.65,0.00
Ar,18.00,39.95,3.00,18.00,9.00,100.00,1.00,0.71,,0.97,0.00,0.71,65.90,0.00,0.00,0.00,3.18,,7.96,0.00,3.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,6.00,10.00,14.00,0.00,1521.00,1.59,83.95,87.45,0.00,0.00,20.77,0.52,1.19,6.45,0.02,0.00,0.08,,,,,,6,376.00,150.69,92.00,0.00,2.66,4.97,0.00,0.00,0.00,0.00
K,19.00,39.10,4.00,1.00,1.00,3.00,0.00,2.43,230.00,1.96,3.69,2.20,216.20,1.52,0.82,0.80,0.84,2.42,2.79,2.42,0.73,1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,6.00,10.00,14.00,1.00,419.00,43.40,336.40,1033.15,0.02,0.86,29.32,0.75,2.33,79.87,102.40,90.00,0.93,3.20,0.27,45.63,2.29,1.30,1,453.00,2223.00,91.10,100.00,1.40,1.05,0.02,0.00,0.00,0.00
Ca,20.00,40.08,4.00,2.00,2.00,7.00,0.00,1.94,201.00,1.74,3.00,1.80,169.00,1.14,1.00,1.17,1.11,2.20,3.01,2.20,1.03,2.00,2.00,2.00,2.00,0.00,0.00,0.00,0.00,6.00,10.00,14.00,2.00,590.00,22.80,1112.15,1757.15,0.04,1.55,25.25,0.63,8.54,153.30,200.00,178.00,1.84,17.20,0.75,26.20,2.87,7.40,2,395.00,2880.00,229.00,230.00,2.30,3.83,0.01,61000.00,0.00,0.00
Sc,21.00,44.96,4.00,3.00,3.00,11.00,2.00,1.84,162.00,1.44,2.75,1.60,157.00,0.89,1.36,1.50,1.17,3.34,3.07,3.34,1.19,3.00,3.00,1.00,2.00,0.00,1.00,0.00,0.00,6.00,9.00,14.00,2.00,633.00,17.80,1814.15,3105.15,0.07,2.99,26.97,0.60,14.10,314.20,15.80,378.00,3.90,56.60,2.05,15.03,3.50,29.00,1,325.00,5400.00,346.00,476.00,4.27,6.17,0.00,-15422.00,0.00,0.00
Ti,22.00,47.88,4.00,4.00,4.00,43.00,2.00,1.76,142.00,1.36,2.58,1.40,147.70,0.75,1.54,1.86,1.23,3.45,3.14,3.45,1.38,4.00,4.00,2.00,2.00,0.00,2.00,0.00,0.00,6.00,8.00,14.00,2.00,659.00,14.60,1933.15,3560.15,0.09,4.54,24.90,0.52,15.45,421.00,21.90,470.00,4.85,108.00,3.51,10.58,4.33,44.00,2,289.00,15500.00,420.00,380.00,5.66,5.48,0.00,-14800.00,0.00,0.00
V,23.00,50.94,4.00,5.00,4.00,46.00,2.00,1.71,134.00,1.25,2.43,1.35,140.10,0.68,1.63,2.22,1.27,3.60,3.20,3.60,1.53,5.00,5.00,3.00,2.00,0.00,3.00,0.00,0.00,6.00,7.00,14.00,2.00,651.00,12.40,2163.15,3653.15,0.12,6.11,24.96,0.49,20.90,453.00,30.70,514.00,5.31,158.00,4.41,8.36,4.30,47.00,3,262.00,5930.00,399.00,390.00,7.22,6.38,0.00,-45348.00,0.00,0.00
